"accept_credit_cards","caters","delivery","good_for_groups","good_for_kids","has_tv","outdoor_seating","parking","take_out","takes_reservations","waiter_service","wheelchair_accessible","romantic","intimate","classy","hipster","divey","touristy","trendy","upscale","casual","dessert","latenight","lunch","dinner","breakfast","brunch","review_count","price_range","alcohol","attire","noise_level","wifi","city","name","business_id","stars"
"1","0","1","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",16,2,"none","casual","loud","no","Phoenix","Domino's Pizza","x5Mv61CnZLohZWxfCVCPTQ",2.5
"1","0","0","1","0","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0",69,2,"full_bar","casual","loud","no","Scottsdale","Handlebar-J","d840tbYJSVn8Fu-n5XRJTw",3.5
"1","0","0","1","0","1","1","1","1","0","1","1","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0",24,2,"full_bar","casual","loud","no","Scottsdale","Rock Bottom Restaurant & Brewery","n4mfUCDXHsg0GH50HzJpug",3.5
"1","1","1","1","1","1","0","1","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0",52,1,"none","casual","average","no","Chandler","Burrito Express","xZEFQlr6rqXxy1Nsmq15wQ",3
"1","0","0","1","1","0","0","1","1","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0",135,1,"none","casual","average","no","Chandler","Hoosier Cafe","dYLlSj_SWwHg1aA3Km061w",4
"1","1","0","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",9,2,"none","casual","quiet","free","Chandler","Wendy's","tvl7g3vGfhg2LWPx6LtvBw",3
"1","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3,1,"none","casual","loud","no","Chandler","Little Caesars","YH88lTBjKx8ro6uXub_1EQ",3.5
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",7,1,"none","casual","average","no","Chandler","Jack In the Box","Xth3AXjbQVpvsUBNSFcxtA",2.5
"1","0","0","1","1","0","0","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",10,1,"none","casual","loud","no","Chandler","McDonald's","wxvOv5ERgY2SPp1OyIdLEQ",2
"1","1","0","1","1","1","1","1","1","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",3,1,"none","casual","loud","free","Chandler","Long John Silver's","bGIR-okJwsOYH46e88ewUQ",2.5
