,city,review_count,name,business_id,stars,Accepts.Credit.Cards,Caters,Delivery,Good.For.Groups,Good.for.Kids,Has.TV,Outdoor.Seating,Parking,Price.Range,Take-out,Takes.Reservations,Waiter.Service,Wheelchair.Accessible,romantic,intimate,classy,hipster,divey,touristy,trendy,upscale,casual,dessert,latenight,lunch,dinner,breakfast,brunch,Attire_casual,Attire_dressy,Attire_formal,Attire_nan,Alcohol_beer_and_wine,Alcohol_full_bar,Alcohol_none,Alcohol_nan,Noise.Level_average,Noise.Level_loud,Noise.Level_quiet,Noise.Level_very_loud,Noise.Level_nan,Wi-Fi_free,Wi-Fi_no,Wi-Fi_paid,Wi-Fi_nan
0,Phoenix,16,Domino's Pizza,x5Mv61CnZLohZWxfCVCPTQ,2.5,True,False,True,False,False,False,False,True,2.0,True,False,False,True,False,False,False,False,False,False,False,False,False,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,Phoenix,6,Viad Tower Restaurants,2ZnCITVa0abGce4gZ6RhIw,3.5,True,,False,True,True,,,,1.0,True,False,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2,Phoenix,25,Sky Lounge,EmzaQR5hQlF0WIl24NxAZA,2.5,True,False,False,True,False,True,True,True,1.0,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
3,Phoenix,432,Wild Thaiger,KPoTixdjoJxSqRSEApSAGg,3.5,True,True,False,True,True,True,True,True,2.0,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,Phoenix,238,Canyon Cafe,e5kc0CQ4R-PCCDgb274gSg,3.5,True,True,False,True,True,True,True,True,2.0,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,Phoenix,12,Teeter House Tea Room,gBcpDl0quCLABsg5OuSFww,3.5,True,,False,True,True,,True,True,2.0,True,True,True,False,,,,,,,,,,False,False,True,False,False,True,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
6,Phoenix,12,Burger King,72N6TdH5MdUWE2YhYRbyxw,2.5,True,,False,False,True,,,,3.0,True,False,False,,,,,,,,,,,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
7,Phoenix,3,Copper Square Cafe,eOgUKCy5-sK-leqIBiNokg,3.0,True,,True,True,True,False,False,,1.0,True,False,False,,,,,,,,,,,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
8,Phoenix,10,Taco Bell,neGAQFkBNI8-rpPBLBzNkw,4.0,True,False,False,True,True,False,False,False,1.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9,Phoenix,205,Majerle's Sports Grill,45puCRQ6Vh_IIAy7kkfFDQ,3.5,True,True,False,True,False,True,True,True,2.0,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,Phoenix,18,Pizzeria Uno,nc3IiY5LNdmEwUZCW84yuA,2.5,True,,False,True,True,,True,True,2.0,True,False,True,True,,,,,,,,,,False,True,True,True,False,False,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
11,Phoenix,57,International House of Pancakes,P7wKlbSRsoRrfH3DFOY08A,3.0,True,False,False,True,True,False,False,True,1.0,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12,Phoenix,265,Comedor Guadalajara,BESmH-lmMm34_EefL8X9fQ,4.0,True,True,False,True,True,False,False,True,2.0,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13,Phoenix,89,Chico's Tacos,D09yG6Z3gcsh24Qn7Y4gYA,3.0,True,True,False,True,True,True,True,True,1.0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
14,Phoenix,172,Phoenix Blue Fin,kaIue7GRCmkPzDeHDBTttQ,4.0,True,True,False,False,True,False,True,True,1.0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15,Phoenix,73,Coach & Willies,j8nyAaN_w5t6wYv-ni23sg,3.0,True,True,False,True,False,True,True,True,2.0,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16,Phoenix,9,Jackson's On 3rd,5XIvwfbIa-vuFEkkeCQ6kQ,2.0,True,,False,True,False,,True,False,2.0,True,False,True,True,,,,,,,,,,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
17,Phoenix,90,Fate 905,VsO_rhXi5lgbaGxNwoEZsQ,3.0,True,,False,False,False,,True,True,2.0,True,True,True,True,,,,,,,,,,False,True,False,True,False,False,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
18,Phoenix,57,Matador Restaurant,Y293fHh5SZ0_9BZm4M6BCg,3.0,True,False,True,True,True,False,True,True,2.0,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
19,Phoenix,59,Paisley Violin,IceZ4BtTz76eppjNWm-c6A,3.5,True,True,True,True,False,False,True,True,1.0,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20,Phoenix,18,New Garden Restaurant,QsvRjgQacMMFf8dit7qqDw,4.0,True,True,False,True,True,False,False,False,2.0,True,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
21,Phoenix,7,Paradise Bakery,LXhL5X3edNRy7epku6UAEw,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
22,Phoenix,129,Mi Amigo's Mexican Grill,-lOSaCuBRAvX5JBifx-EMw,3.0,True,True,False,True,True,True,True,True,2.0,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
23,Phoenix,21,Baja Fresh Mexican Grill,XI-_Y2XRw03mozGx0Z90Gw,3.5,True,,False,True,True,False,True,True,1.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,Phoenix,113,Hooters,qsWxbgQwuomXvMseg23DGg,2.5,True,False,False,True,False,True,True,True,2.0,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
25,Phoenix,275,The Old Spaghetti Factory,DlCtdbceo4YNSI53cCL2lg,3.0,True,True,False,True,True,False,False,True,2.0,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
26,Phoenix,25,Crave Sandwich Cafe & Catering,kR5i58Pcse1FD9tk-yYLlA,3.5,True,True,True,True,True,False,True,True,1.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
27,Phoenix,78,Tom's Tavern & 1929 Grill,2I666dqzs1XB6xigIKa9bA,3.0,True,True,False,True,False,True,True,True,2.0,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
28,Phoenix,19,Karim's Cobbler Shop & Deli,yExYqENb4F6qH6kJxTOaSQ,3.5,True,True,,True,True,True,False,True,1.0,True,False,False,True,,,,,,,,,,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
29,Phoenix,57,The Downtown Deli,9BH18avE46LlHMvJn67MaA,4.0,True,True,True,True,True,False,True,True,1.0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
30,Phoenix,127,Zoes Kitchen,trAvQPp7gps0Btk-2AmLpw,3.5,True,True,False,True,True,False,True,True,1.0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
31,Phoenix,5,Jack in the Box,VCQ3VvnVRhibTT8J61xWkw,2.0,True,,False,True,True,True,False,,,True,False,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
32,Phoenix,6,Subway,s6zzKc7UvwDRxn-BFlhiTg,2.5,True,,False,True,True,False,True,,1.0,True,False,False,,,,,,,,,,,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
33,Phoenix,7,The Brickhouse,4WcxnNv_lzCIG2eb8O5Mlg,3.5,True,,,True,False,,,True,2.0,,,,True,,,,,,,,,,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
34,Phoenix,124,Hard Rock Cafe9,gkv2XvXpFgiq4Bb2XK7YmQ,3.0,True,False,False,True,True,True,True,True,2.0,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
35,Phoenix,26,Papa Christo's,If2DUhmWIvlu2JFc_rR-Bw,3.5,True,True,False,True,True,True,True,True,1.0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
36,Phoenix,20,McDonald's,xH5axHFadmc7Veutt376TA,1.5,True,False,False,True,True,False,False,True,1.0,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
37,Phoenix,12,Subway,Vvh2Hd4SsZjEEfKLNKAEWw,4.0,True,,False,True,True,False,False,False,,True,False,False,True,,,,,,,,,,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38,Phoenix,7,Central Cafe,sInUSy63Oh455uWs9p9OqQ,4.5,True,False,True,True,True,True,False,False,1.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
39,Phoenix,4,Jordan's Mexican Food,x8WoC_7WHzXNmt6J13Nbvw,2.0,False,,,True,False,,,,1.0,,,False,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
40,Phoenix,50,Duck & Decanter,wki-Qlp3OWgH0XtZ-Jz_WQ,4.0,True,True,True,True,True,False,True,True,1.0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
41,Phoenix,65,Best of Philly,OoHWabV-ym7_HWlHeXTsVA,3.5,True,False,False,True,True,False,True,True,1.0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
42,Phoenix,51,Ichi Ban Japanese Restaurant & Sushi,oSKT5oZX1NWYaHwOWL5lag,3.5,True,False,False,True,True,True,False,True,2.0,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
43,Phoenix,13,Schlotzskys Deli,QAe9UHKsxPdXQovBpaznMQ,2.5,True,True,False,False,True,False,False,True,1.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
44,Phoenix,237,Honey Bear's BBQ,q1nDSpmV-FdTBNj6UuZvTg,3.0,True,True,True,True,True,True,True,True,2.0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
45,Phoenix,187,Cheuvront,muCl5p-9ut1sY0aKeUeRhw,3.5,True,True,False,True,False,True,True,True,2.0,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
