user_id,review_count,average_stars
rpOyqD_893cqmDAtJLbdog,1274,3.66
4U9kSBLuBDU391x6bxU-YA,442,3.6
ZWOj6LmzwGvMDh-A85EOtA,983,4.02
HDQixQ-WZEV0LVPJlIGQeQ,45,3.82
gh2_LticbfRCOlfRXx3fPQ,14,3.33
29YTm4rTpje0f26CWIPUcQ,8,3.62
0bS4Xdg6xyXKepmayuh-8Q,3,3.0
AeUdBbzKRSy0G_SQ7qMjJg,2,1.0
GP68togo6XkoHHBE6AUkpg,2,3.0
WguMJXDNO4v90BQRJ7VlGg,8,4.29
yfa-2UVleHpL5Wm20xFlgQ,15,3.8
d4la7IYmyqPPV6RxG2VVHw,4,4.0
8cXpBssSvU6sed_4iX4CeA,6,3.0
Nv3_1cxr9L4V6-cRVJQ_yQ,31,3.62
rLOlKKUULGTkjfPnaiKniA,3,4.67
Yb1f5A96UBOkdX81WbUSKQ,6,3.6
91ovYNfGfPiqe6GbTcPwTg,30,3.47
RG3fSnsUFnagOcJgyOzMEQ,49,3.52
1pbDBfeOWnRVrotNPRzAzw,6,4.83
CgGT6sr4OCF2BHYngOIqlw,6,3.83
AtH6R8W4y6lYNKunDhBk9A,8,3.75
6CfB1MEvy7AQkP0Mpbsrjw,4,4.0
J817Cq7qJ9bYvJVFHlUgCw,22,4.19
ryu1gXViHZJ38-o9fr9vVw,18,4.56
elZVhTAf33xz9qxF6JBG1A,1,1.0
zij94_iRcsUHH-hY1RJyGA,1,5.0
Q5KuehWk6WB4VRCZJTntiQ,5,4.14
u51Y4YnhAbWn0nghijc2dw,13,3.67
2Wc38GgCFxQMertogKAb9Q,6,2.67
3LaMjNFMp-xB18gTflid4Q,1,5.0
OT47MP02ay6hEGq3Z_-74g,3,2.0
quFkV1n26o7HBxzxn6DWzA,5,4.8
lBO20MvNrMUNvFqmxx-WNQ,4,2.0
OajjIgIMYEzYx9vAFpVe3A,12,2.91
qj44fdA4bs7qReU0Tn0LDg,1,5.0
7pJePwn8indandJlTnSkiA,3,3.33
_ITsRnJ6P-v1tGQVENY2mA,9,4.56
I0egPw04pFzzvCL4Pn36ZQ,1,5.0
K2Tml6vK2hy1RRAiRFrXZg,22,4.1
PCJ_bFOw0pWC1CsuUzH_Hw,1,5.0
AxY6dgTLj4liaX8AaKBMXg,1,5.0
Oh5nIiSOhYrXeixNyS0HTA,1,5.0
dfkRRR7vHoF_0ApWjHsOHA,383,3.87
BRt9eA4jqrL5Dr-vzYufkQ,11,3.18
8GQnBBVk_PXIV6IFMtnjxw,8,4.5
gy1bZp4i2gJCLX9mPnIWZw,1,5.0
j9RfgsHE15SZF9qxQ7IFow,5,4.2
QLLHQmWppw-ZTuFy_HFo2w,15,3.38
JMDB3xjBzyhSHwRFwx3j3Q,4,3.75
ckLAlJbffAvHZ3FzyfhfrQ,1,5.0
g_Jo0KdhK-kb2yJwznt7nw,3,3.33
e6sWAG1rgVQw-WOQwbz75g,1,5.0
Wxc7kAWm3A8RI-XExyHzPw,4,2.0
57O4tza-G4pyxvSJqoCeiw,2,5.0
ene1l8g5o9C7acgMmLTmAQ,2,4.5
BoptmH4qSxBYsR66-inxrg,1,1.0
d74kXnFb5hRjhTaqJdLMmQ,1,1.0
IfqCziL7kBW8Cv6CezpQHg,2,1.0
ya-olSB7-_-xZVFJ0nN7pg,1,5.0
MeJGjV2IVY263AiW9dM5cQ,12,4.18
GFpdPyx_dnrYc51S16Iqrw,2,5.0
wbb2WvPvxZe_wqQKEmxHnw,11,4.45
LRdq4puCbJHsC8-90qCB_Q,13,4.38
o2CGc1kQHEFkYOECM3NFdg,306,3.61
lPAplDqTRrb6heRXrc5heA,5,3.75
FkKyW6x1sepjRtAgvxJl6w,27,3.89
ysZSP646Ikjb9pPKxuBurw,11,4.36
AzBIbWdMcRde8vYnk_q17g,11,2.64
5RVUt3bCDSA7F_SahuwZ8w,15,3.57
KquT_b7cZGzGR_41O9W-MQ,5,3.0
ys187ij5Y9eeg5vxdZFLWA,33,3.74
2bR-KFWjl1yQ3pKWi6NVTA,14,5.0
Rd0bQN3YQ9YMqUb27XZ2MA,15,4.69
-mg0tZ8TJyv3VD7ng3VVHg,17,4.53
OoXu-zzqiPs3dTKzNnXJVg,3,2.25
pNUAIJ_sHej6j8rSsDmhTA,1,5.0
a5aU2riGnLvUiEnz0K3j7w,2,3.5
Wk4KDML0NDv2_zDMP6eSwA,3,5.0
o8TKMTh8i0kVuUnmmYNh6g,5,3.8
8PGZiL4IMpb-L92XSHM6ow,9,3.2
yQOFVo12U-QNWKeyU3lHzg,5,3.2
3peTalnBXqAPsp5v__LwyA,1,4.0
qqm6-UXrNlKeog9edfRLZA,2,5.0
BiXcARuTq7Tnc6UJ4fIsRw,1,5.0
iemswP_ZAZbpjlEJdGlQHQ,8,3.5
QEYTm3qf6Kmp0VmamXQW_A,169,3.7
-I3dVtxwrgzqYFtRSrcYFw,92,4.17
xOQVHYN1roRZKpLvAT-a2A,2,2.5
t6kDahF55KG7Noh3QgWjEw,1,1.0
gS2fKfL1EHjlpxIxj84Ocg,11,4.0
H8SGfLAH1v1Q7LHFdWJFJA,39,3.75
AsG37qdhF-yZpy8HcO6EqA,6,5.0
YSSfrz1fJUK293krIdGX2A,11,4.0
FfiGyl2sXf19Vzw0aN2Leg,11,3.69
rqcYyk9CybICXM1VMOc7fA,70,4.39
FK68_NkFL7iIjgFko9BG-A,1,4.0
FHMDOxqzILoNKL_Dcc4liA,11,2.18
cIiVBHSPiLdNB40LJM5mmA,4,3.33
5bE--3pgM9aRSmjyoJU4OA,2,1.0
hVe0q52U8DQRgoEUARywkg,1,4.0
xup5UChWF6J2Y6PGWEOuzw,6,2.6
q3mkR_7_dvNT5Tfo4_v35A,2,5.0
HS3P7Fo612GYMfk-_mJIVw,4,4.75
W_1IcUqizzk9e-JiJ7qzZQ,6,4.4
mWMJlw5gOg0O2vf-NpJv7A,1,5.0
iffskkg_pFzSqh7nWABAoA,1,5.0
RKcnuymOIjuKFw3SrR8CYA,2,5.0
h1yrGWb_OoxrRilDzsOQWQ,1,5.0
5KwFISX_GfnFUQ0VvaIE1A,5,3.0
aLiNd-cBO5_6uGLpr6DAUw,7,5.0
jE0U2MSzfVGje-aD-kimEw,2,4.5
6LDL2B7XfIgOmjbE7y64sA,27,3.44
a_0E3T9k8DmiHVSeQkiOFQ,16,3.94
e6cqwsPS3U0U5f2dNvdnLg,7,4.25
7cIc52lToGmKu7Hpp6rPdg,88,3.85
tCVQyYHcmOrx2i81C47Tew,150,3.91
qYLuXIBkrudpmuKrGPvEng,6,4.8
ARl3It1h6bbi_BhMOQ7XjA,3,4.33
-zxjJDZ_N9GeyROjf2W-Yw,4,4.2
nf-t_SFV2aMY6kdcdMoI_w,5,2.0
Km_dfommKMxV1Ra5pDK2CQ,1,2.0
zEY9jXzzvNRncmOp0gISsw,6,3.33
-v8O2qpCKgwvVu43RVXPSQ,9,4.89
COgHJ1a3ul8CQYIRWmXCEQ,2,3.0
03UnM75gRvHWUwmb7ftBwQ,2,5.0
chcMyMR0SuGHv2qwV3Hn9w,18,2.95
LjOSdXVjvatGdipv7JFgKg,4,1.33
Fxh-544wUfgBXc94IqUi2g,2,5.0
j5v4xO9JtyKcFfqbldBmRw,4,3.0
8gqQHiF1iPR4DMSx4melXw,4,4.67
V8vZSoz8CE15KX4wKhDxsw,4,4.0
9f6ghy-bzEKHGbaDMBEpdQ,3,3.5
Uia2fG-gD_3H8NxLrDTM4w,5,3.2
qLT-xqFCoVlIwreGS7GjuQ,11,4.27
rFESBu6i2hHmgQWYMTsHUw,364,3.62
PIN34hFkWBgC43Vb09ggYQ,26,4.23
g4ZT9Rn7zl_pAcpBKBMqNQ,3,4.67
R8H5j3wGUfOf9wFq51YJjw,28,4.78
F89xQvtT94yxthlkkcZ_8w,62,3.97
